company_name,domain,role_bucket,full_name,first_name,last_name,title,headline,location,linkedin_url,company_linkedin_url
Strongpoint Partners,strongpointpartners.com,decision_maker,Daniel Hest,Daniel,Hest,Chief Executive Officer,CEO at Strongpoint Partners,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/dhest,https://www.linkedin.com/company/strongpointpartners
Strongpoint Partners,strongpointpartners.com,decision_maker,Michael Heflin,Michael,Heflin,Chief Operating Officer,#StrongerTogether,"{'city': 'Petoskey', 'state_code': 'MI', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/mheflinmba,https://www.linkedin.com/company/strongpointpartners
Strongpoint Partners,strongpointpartners.com,tech_product,Andrew Freund,Andrew,Freund,Director of Software Engineering,Director of Software Engineering,"{'city': 'Wauconda', 'state_code': 'IL', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/andrewlfreund,https://www.linkedin.com/company/strongpointpartners
Strongpoint Partners,strongpointpartners.com,tech_product,Matt Miller,Matt,Miller,VP of Product & Ai Engagement,Growth-Stage Product Leader | AI + SaaS | Scaling Strategy & Operations,"{'city': 'Downers Grove', 'state_code': 'IL', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/matthew-miller-031082,https://www.linkedin.com/company/strongpointpartners
Strongpoint Partners,strongpointpartners.com,tech_product,Sean Morris,Sean,Morris,Chief Financial Officer,,"{'city': 'Chicago', 'state_code': 'IL', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/seanpmorris,https://www.linkedin.com/company/strongpointpartners
